ProspectiveBuyerKey,ProspectAlternateKey,FirstName,LastName,Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,City,StateProvinceCode,PostalCode
516,1754,Devon,Anand,72,S,M,10000,2,0,Bachelors,Clerical,0,1,Concord,CA,94519
524,989,Dwayne,Blanco,48,M,M,10000,1,0,Graduate D,Manual,1,0,Concord,CA,94519
528,992,Dwayne,Castro,36,M,M,30000,0,0,Partial Co,Clerical,0,1,Colma,CA,94014
530,3812,Deborah,Chander,32,S,F,20000,0,0,Partial Co,Manual,0,0,Concord,CA,94519
532,9164,Douglas,Chandra,77,S,M,90000,4,0,Bachelors,Management,0,1,City Of Commerce,CA,90040
537,9673,Derek,Deng,33,M,M,30000,0,0,Partial Hi,Clerical,1,2,Colma,CA,94014
542,20535631200,Devin,Edwards,44,M,M,90000,0,0,Bachelors,Professional,1,0,Palo Alto,CA,94303
556,18027535100,Dalton,Harris,51,M,M,70000,1,0,Graduate D,Professional,1,1,Spring Valley,CA,91977
572,8336,Dennis,Lu,43,M,M,50000,0,0,Partial Co,Skilled Manual,1,1,Sherman Oaks,CA,91403
573,9678,Derek,Luo,32,M,M,40000,0,0,Partial Hi,Clerical,0,2,Coronado,CA,92118
574,3176,Dominique,Madan,66,S,F,80000,5,0,Bachelors,Management,1,2,Colma,CA,94014
579,1898,Donna,Nara,42,S,F,40000,0,0,Graduate D,Clerical,1,0,Spring Valley,CA,91977
599,69774626500,Devin,Rogers,35,S,M,60000,0,0,Partial Hi,Skilled Manual,0,3,Concord,CA,94519
602,9548,Donald,Sai,38,M,M,90000,0,0,Partial Hi,Professional,0,3,Colma,CA,94014
607,28065450200,David,Sharma,67,M,M,40000,2,0,Bachelors,Management,0,2,Chula Vista,CA,91910
608,4134,Darrell,Sharma,48,M,M,60000,1,0,Partial Co,Skilled Manual,0,1,Newport Beach,CA,92625
626,28037812700,David,Wang,34,S,M,40000,0,0,High Schoo,Skilled Manual,1,2,Concord,CA,94519
636,35,Damien,Xu,33,S,M,30000,0,0,Partial Hi,Clerical,1,2,Downey,CA,90241
637,29465563297,Dylan,Yang,49,S,M,50000,2,0,Partial Hi,Skilled Manual,0,2,Chula Vista,CA,91910
644,92666298747,Emma,Alexander,43,M,F,100000,1,0,Bachelors,Management,1,2,Redwood City,CA,94063
650,2811,Eddie,Blanco,75,M,M,60000,2,0,Graduate D,Management,1,2,Burlingame,CA,94010
653,21790352500,Eric,Butler,71,M,M,70000,5,0,Graduate D,Management,1,2,West Covina,CA,91791
655,5861,Edwin,Cai,65,M,M,40000,5,0,High Schoo,Professional,0,2,San Diego,CA,92102
657,9103,Erik,Castro,60,M,M,30000,3,0,Partial Co,Clerical,1,2,Colma,CA,94014
665,56436408800,Elizabeth,Foster,36,S,F,50000,0,0,High Schoo,Professional,0,2,Chula Vista,CA,91910
674,57781209300,Emily,Henderson,31,M,F,30000,0,0,High Schoo,Skilled Manual,1,2,Downey,CA,90241
680,20583589100,Eduardo,Jones,44,M,M,50000,1,0,Partial Co,Skilled Manual,1,1,National City,CA,91950
683,10080,Erica,Li,49,S,F,50000,1,0,Partial Co,Skilled Manual,1,1,Beverly Hills,CA,90210
684,27351639270,Ethan,Li,41,M,M,70000,5,0,Graduate D,Professional,1,0,Oakland,CA,94611
690,83105784654,Ethan,Miller,38,M,M,70000,0,0,Partial Co,Skilled Manual,1,2,Visalia,CA,93291
691,75953668951,Eric,Mitchell,43,S,M,30000,1,0,Partial Co,Clerical,1,1,Downey,CA,90241
697,4194,Ebony,Navarro,54,M,F,10000,2,0,Partial Co,Manual,0,0,Concord,CA,94519
701,8772,Erika,Ramos,48,S,F,10000,1,0,Graduate D,Manual,0,0,Grossmont,CA,91941
705,4181,Ebony,Sanchez,46,M,F,70000,0,0,Bachelors,Professional,1,1,Palo Alto,CA,94303
712,3396,Emmanuel,Verma,51,M,M,50000,4,0,Graduate D,Skilled Manual,1,0,Concord,CA,94519
716,92404407900,Emma,Wood,63,M,F,60000,5,0,Bachelors,Management,1,3,Chula Vista,CA,91910
720,2715,Ernest,Zheng,34,S,M,70000,0,0,High Schoo,Management,1,2,Chula Vista,CA,91910
727,37753717899,Faith,Bell,48,M,F,20000,1,0,Graduate D,Clerical,1,0,Downey,CA,90241
728,33214894500,Faith,Bennett,36,M,F,50000,0,0,Graduate D,Skilled Manual,1,0,Palo Alto,CA,94303
729,343,Franklin,Cai,51,S,M,50000,4,0,Graduate D,Skilled Manual,0,0,Santa Cruz,CA,95062
743,3361,Frederick,Lopez,35,M,M,20000,0,0,High Schoo,Manual,0,1,Colma,CA,94014
745,7687,Francisco,Malhotra,49,S,M,50000,1,0,Partial Co,Skilled Manual,1,1,Eureka,CA,95501
751,8577,Frank,Ortega,48,S,M,50000,1,0,Partial Co,Skilled Manual,1,1,La Jolla,CA,92806
775,3549,Geoffrey,Engineer,30,S,M,10000,0,0,Partial Co,Manual,0,1,Baldwin Park,CA,91706
785,2367,Glenn,He,56,S,M,50000,2,0,Partial Co,Skilled Manual,0,2,San Diego,CA,92102
788,46693434715,Gabrielle,Hill,30,M,F,60000,0,0,Partial Hi,Skilled Manual,0,3,Concord,CA,94519
790,10186,Gregory,Lal,63,M,M,30000,2,0,Partial Co,Clerical,0,2,Concord,CA,94519
796,752,Gloria,Moreno,68,M,F,50000,2,0,Graduate D,Management,1,1,Colma,CA,94014
798,42836573719,Gabrielle,Nelson,70,M,F,90000,5,0,Bachelors,Management,1,2,Concord,CA,94519
800,41808660000,Gabrielle,Phillips,35,S,F,60000,0,0,Partial Hi,Skilled Manual,0,3,Colma,CA,94014
825,12352388500,Hailey,Bell,64,M,F,60000,5,0,Bachelors,Management,0,3,Concord,CA,94519
854,9284,Holly,Rodriguez,33,S,F,10000,0,0,High Schoo,Manual,0,2,Santa Cruz,CA,95062
861,54512873300,Hannah,Taylor,41,S,F,50000,0,0,Graduate D,Skilled Manual,0,0,Burlingame,CA,94010
872,99944408535,Isabella,Cooper,71,S,F,60000,3,0,Graduate D,Management,0,2,San Carlos,CA,94070
875,19263126850,Ian,Garcia,91,M,M,10000,3,0,Bachelors,Clerical,1,2,Los Angeles,CA,90012
878,81361726522,Isaac,Hall,43,S,M,20000,1,0,Graduate D,Clerical,1,0,Altadena,CA,91001
882,31759249000,Isabel,Hughes,79,S,F,20000,2,0,Partial Co,Manual,1,1,Colma,CA,94014
884,31881895700,Isabelle,Jenkins,36,M,F,30000,0,0,Partial Co,Clerical,1,1,Colma,CA,94014
897,3515,Ivan,Sanchez,35,S,M,20000,0,0,High Schoo,Manual,0,1,Colma,CA,94014
898,3502,Ivan,Srini,31,S,M,50000,0,0,Partial Co,Skilled Manual,1,1,Lakewood,CA,90712
906,49378663900,Isabella,Wilson,77,M,F,50000,2,0,Graduate D,Management,1,2,Chula Vista,CA,91910
918,7884,Johnny,Bhat,36,M,M,80000,0,0,High Schoo,Management,1,3,Woodland Hills,CA,91364
920,6523,Jonathon,Blanco,32,S,M,50000,0,0,Partial Co,Skilled Manual,0,1,Lakewood,CA,90712
927,9508,Julie,Chande,39,S,F,30000,0,0,Bachelors,Clerical,1,0,Mill Valley,CA,94941
940,623,Joy,Diaz,42,S,F,30000,1,0,Bachelors,Clerical,0,0,Colma,CA,94014
950,5046,Jenny,Gao,48,S,F,30000,5,0,Graduate D,Clerical,0,0,Grossmont,CA,91941
956,233,Jessie,Gil,48,S,F,60000,1,0,Bachelors,Professional,0,1,Burbank,CA,91502
959,7808,Jerry,Goel,44,M,M,40000,1,0,Partial Co,Clerical,1,1,Santa Ana,CA,92701
984,84008932709,Justin,Johnson,35,S,M,50000,0,0,High Schoo,Skilled Manual,0,2,Chula Vista,CA,91910
994,2272,Jessie,Li,36,S,M,20000,0,0,Partial Co,Manual,1,1,Chula Vista,CA,91910
998,1143,Jarrod,Lopez,40,S,M,90000,2,0,Bachelors,Professional,1,0,Concord,CA,94519
1013,88010123400,Joshua,Moore,68,M,M,60000,3,0,Graduate D,Management,1,2,West Covina,CA,91791
1045,1928,Jodi,Raji,47,M,F,70000,0,0,Bachelors,Professional,1,1,Torrance,CA,90505
1062,8580,Jesus,Ruiz,44,S,M,90000,2,0,Bachelors,Professional,0,0,Chula Vista,CA,91910
1064,1130,Jarrod,Sai,77,M,M,90000,4,0,Bachelors,Management,0,1,Burbank,CA,91502
1081,3427,Jermaine,Srini,53,M,M,10000,3,0,Partial Co,Manual,1,2,Colma,CA,94014
1084,72000377200,Juan,Stewart,65,S,M,50000,5,0,Bachelors,Management,0,2,Fullerton,CA,92831
1095,81758521795,James,Taylor,31,M,M,40000,0,0,High Schoo,Skilled Manual,1,2,Concord,CA,94519
1099,73234332800,Jason,Turner,55,S,M,40000,1,0,Partial Co,Clerical,1,1,Bellflower,CA,90706
1107,85538419485,John,Wilson,51,M,M,50000,4,0,Graduate D,Skilled Manual,1,0,Coronado,CA,92118
1126,2129,Karl,Anand,41,M,M,30000,0,0,Bachelors,Clerical,1,0,Los Angeles,CA,90012
1131,9894,Kristin,Bhat,54,M,F,50000,5,0,Graduate D,Skilled Manual,1,0,Colma,CA,94014
1143,8060,Karen,Chen,51,S,F,20000,2,0,Partial Co,Manual,1,1,Concord,CA,94519
1144,53045721100,Kayla,Clark,35,M,F,90000,0,0,Partial Hi,Professional,1,4,La Jolla,CA,92806
1149,4590,Kari,Diaz,42,M,F,10000,1,0,Graduate D,Manual,1,0,Santa Cruz,CA,95062
1169,4593,Kari,Jimenez,35,S,F,90000,0,0,High Schoo,Management,0,2,El Cajon,CA,92020
1176,10120,Kristen,Liang,44,M,F,70000,4,0,Graduate D,Professional,0,0,Colma,CA,94014
1184,6845,Kendra,Martin,43,M,F,40000,0,0,Bachelors,Clerical,1,0,Daly City,CA,94015
1220,4610,Kari,Rubio,59,M,F,40000,2,0,Partial Co,Clerical,0,2,Colma,CA,94014
1224,9360,Kristina,Sanchez,57,S,F,30000,1,0,Bachelors,Skilled Manual,1,1,Bellflower,CA,90706
1226,6386,Krista,Serrano,43,S,F,40000,0,0,Bachelors,Clerical,0,0,Colma,CA,94014
1228,10213,Kenneth,Shan,41,M,M,110000,1,0,Graduate D,Management,1,0,Newport Beach,CA,92625
1245,6858,Kendra,Torres,52,S,F,50000,4,0,Graduate D,Skilled Manual,1,0,Chula Vista,CA,91910
1251,82,Kelvin,Ye,74,M,M,60000,2,0,Graduate D,Management,0,2,Colma,CA,94014
1254,8079,Karen,Zheng,34,S,F,30000,0,0,High Schoo,Skilled Manual,0,2,Burbank,CA,91502
1255,5354,Kelli,Zheng,53,M,F,10000,1,0,Partial Co,Manual,1,0,Chula Vista,CA,91910
1268,71000326275,Luis,Evans,32,S,M,50000,1,0,Graduate D,Skilled Manual,0,0,Berkeley,CA,94704
1297,1365,Lydia,Mehta,31,M,F,30000,0,0,Partial Co,Clerical,0,1,Torrance,CA,90505
1300,9940,Lindsey,Nara,37,S,F,30000,0,0,High Schoo,Manual,0,1,Hanford,CA,93230
1311,77122784900,Luke,Scott,74,S,M,60000,2,0,Graduate D,Management,1,2,Concord,CA,94519
1320,14601131081,Lauren,Stewart,40,S,F,60000,1,0,Graduate D,Professional,0,0,Berkeley,CA,94704
1334,9424,Lindsay,Yuan,35,M,F,50000,0,0,Partial Co,Skilled Manual,1,2,Colma,CA,94014
1342,34657547500,Mariah,Alexander,36,M,F,50000,1,0,Graduate D,Skilled Manual,1,0,Santa Cruz,CA,95062
1346,3884,Michele,Alonso,40,S,F,90000,0,0,Partial Hi,Professional,1,4,Chula Vista,CA,91910
1350,6149,Monique,Alvarez,43,M,F,30000,5,0,Graduate D,Clerical,1,0,Auburn,CA,95603
1371,7709,Martin,Chandra,40,M,M,20000,0,0,Partial Co,Manual,0,1,Downey,CA,90241
1374,39803558600,Melanie,Cook,48,M,F,10000,1,0,Graduate D,Manual,1,0,Long Beach,CA,90802
1391,3059,Meagan,Garcia,48,S,F,10000,1,0,Bachelors,Manual,0,0,Santa Cruz,CA,95062
1403,4383,Marie,Hernandez,56,M,F,50000,2,0,Partial Co,Skilled Manual,1,2,Colma,CA,94014
1409,60555809736,Miguel,Hughes,52,M,M,60000,1,0,Bachelors,Professional,1,1,Concord,CA,94519
1425,2894,Marvin,Martin,48,S,M,50000,1,0,Bachelors,Professional,0,1,Lincoln Acres,CA,91950
1433,38918874900,Mariah,Morris,43,S,F,40000,0,0,Bachelors,Clerical,0,0,Spring Valley,CA,91977
1443,508,Marshall,Pal,36,S,M,50000,0,0,High Schoo,Professional,0,2,Concord,CA,94519
1444,42401439000,Maria,Parker,66,S,F,30000,5,0,Partial Hi,Clerical,0,2,San Diego,CA,92102
1449,30894284800,Miranda,Perry,46,M,F,50000,4,0,Graduate D,Skilled Manual,1,0,Bellflower,CA,90706
1455,4368,Marie,Raman,56,S,F,50000,2,0,Partial Co,Skilled Manual,1,2,Concord,CA,94519
1464,36347736100,Makayla,Richardson,67,M,F,30000,1,0,Bachelors,Clerical,0,0,Barstow,CA,92311
1476,4659,Meredith,Rubio,45,M,F,40000,1,0,Bachelors,Skilled Manual,1,0,Downey,CA,90241
1492,16245545148,Miguel,Smith,47,S,M,50000,2,0,Partial Hi,Skilled Manual,0,2,Concord,CA,94519
1498,9237,Monica,Suri,41,S,F,90000,1,0,Graduate D,Management,0,0,Chula Vista,CA,91910
1499,7916,Mitchell,Tang,53,S,M,40000,1,0,Partial Co,Clerical,0,1,Cerritos,CA,90703
1500,88398657441,Matthew,Thompson,76,M,M,60000,2,0,Graduate D,Management,1,2,Burlingame,CA,94010
1501,34861465100,Melissa,Torres,43,S,F,60000,0,0,Graduate D,Professional,0,1,Colma,CA,94014
1505,7257,Manuel,Verma,73,S,M,50000,2,0,Graduate D,Management,0,2,Colma,CA,94014
1518,2373,Mandy,Zhang,32,S,F,30000,0,0,High Schoo,Manual,0,1,Concord,CA,94519
1532,49500564900,Natalie,Davis,32,S,F,40000,0,0,High Schoo,Skilled Manual,0,2,Fremont,CA,94536
1536,50480558300,Nicole,Garcia,35,M,F,20000,0,0,Partial Hi,Manual,0,1,Torrance,CA,90505
1539,74426757100,Nathan,Gonzalez,36,M,M,60000,0,0,Partial Co,Professional,1,2,Colma,CA,94014
1540,80972994000,Nathan,Hall,56,M,M,50000,2,0,Partial Hi,Skilled Manual,0,2,Concord,CA,94519
1543,82912434935,Nathan,Jackson,46,M,M,60000,1,0,Bachelors,Professional,1,1,Newark,CA,94560
1553,89207509756,Nicholas,Miller,30,S,M,20000,0,0,Partial Hi,Manual,0,2,Bellflower,CA,90706
1558,905,Nelson,Munoz,69,S,M,40000,2,0,Bachelors,Management,1,2,Colma,CA,94014
1573,2155,Nicolas,She,30,M,M,40000,0,0,Partial Hi,Clerical,1,2,Colma,CA,94014
1580,25441150069,Noah,Wang,56,S,M,40000,3,0,Partial Hi,Clerical,0,2,San Diego,CA,92102
1598,874,Orlando,Ruiz,39,M,M,10000,0,0,Partial Hi,Manual,0,2,Colma,CA,94014
1611,65976704400,Patrick,Cooper,49,M,M,50000,1,0,Partial Co,Skilled Manual,1,1,Chula Vista,CA,91910
1617,3782,Priscilla,Jai,41,S,F,40000,0,0,Graduate D,Clerical,0,0,Bellflower,CA,90706
1638,5140,Pedro,Srini,39,S,M,70000,5,0,Graduate D,Professional,1,0,Concord,CA,94519
1644,9779,Peter,Yuan,43,S,M,40000,0,0,Bachelors,Clerical,0,0,Chula Vista,CA,91910
1684,25661026800,Robert,Gonzales,69,M,M,90000,5,0,Bachelors,Management,1,2,Concord,CA,94519
1696,7077,Ricky,Hernandez,69,S,M,90000,5,0,Bachelors,Management,0,2,Concord,CA,94519
1716,570,Robyn,Martin,64,M,F,60000,4,0,Bachelors,Management,0,3,Colma,CA,94014
1721,577,Robyn,Moreno,34,S,F,40000,0,0,High Schoo,Skilled Manual,1,2,Chula Vista,CA,91910
1750,18535609800,Richard,Scott,56,S,M,30000,1,0,High Schoo,Clerical,0,1,Culver City,CA,90232
1768,2669,Ramon,Wang,66,S,M,50000,2,0,Graduate D,Management,0,1,Chula Vista,CA,91910
1773,2041,Rosa,Xu,39,M,F,90000,2,0,Bachelors,Professional,0,0,Berkeley,CA,94704
1780,2304,Ronnie,Zhou,47,S,M,90000,0,0,Partial Co,Professional,0,1,Colma,CA,94014
1791,964,Shannon,Blanco,42,S,M,70000,0,0,Bachelors,Professional,0,2,Palo Alto,CA,94303
1805,11031341600,Sydney,Cox,32,M,F,40000,0,0,High Schoo,Skilled Manual,1,2,Concord,CA,94519
1807,950,Shannon,Diaz,43,M,M,50000,0,0,Partial Co,Skilled Manual,0,1,National City,CA,91950
1808,659,Sheila,Dominguez,37,S,F,50000,1,0,Graduate D,Skilled Manual,1,0,Colma,CA,94014
1812,9154,Shane,Garcia,46,M,M,30000,1,0,Graduate D,Clerical,1,0,Chula Vista,CA,91910
1813,6358,Sabrina,Gil,49,M,F,30000,2,0,High Schoo,Skilled Manual,0,2,Long Beach,CA,90802
1830,1604,Stanley,Kapoor,47,S,M,60000,1,0,Partial Co,Skilled Manual,0,1,Chula Vista,CA,91910
1836,25049306154,Samuel,Li,43,S,M,100000,2,0,Bachelors,Management,1,2,Colma,CA,94014
1837,46381622552,Stephanie,Lopez,33,S,F,50000,0,0,Partial Co,Skilled Manual,0,2,Chula Vista,CA,91910
1858,42810765500,Sydney,Nelson,35,S,F,30000,0,0,Partial Co,Clerical,1,1,Torrance,CA,90505
1864,3341,Sergio,Perez,38,M,M,60000,1,0,Graduate D,Skilled Manual,1,0,San Gabriel,CA,91776
1877,8713,Stacy,Romero,69,S,F,80000,4,0,Bachelors,Management,1,2,Colma,CA,94014
1903,2065,Suzanne,Zhao,68,S,F,60000,3,0,Graduate D,Management,0,2,San Diego,CA,92102
1918,75644458532,Timothy,Carter,49,S,M,50000,1,0,Partial Co,Skilled Manual,1,1,Grossmont,CA,91941
1932,6274,Tanya,Hernandez,32,S,F,20000,0,0,Bachelors,Clerical,0,0,Barstow,CA,92311
1946,4522,Tabitha,Madan,33,S,F,30000,0,0,Partial Hi,Clerical,0,2,Concord,CA,94519
1947,4518,Tabitha,Malhotra,63,M,F,90000,5,0,Partial Hi,Skilled Manual,0,2,Chula Vista,CA,91910
1956,3166,Tammy,Perez,56,S,F,30000,1,0,High Schoo,Clerical,1,1,Chula Vista,CA,91910
1958,3453,Terrance,Prasad,67,S,M,50000,2,0,Graduate D,Management,1,1,Fremont,CA,94536
1964,73070004600,Timothy,Roberts,56,S,M,10000,2,0,Partial Co,Manual,0,1,Concord,CA,94519
1977,6891,Teresa,Suarez,32,M,F,30000,0,0,High Schoo,Manual,1,1,Concord,CA,94519
1978,3157,Tammy,Subram,38,M,F,90000,0,0,Bachelors,Professional,0,0,Beverly Hills,CA,90210
1995,5786,Tamara,Zhang,33,S,F,30000,0,0,Partial Hi,Clerical,1,2,La Jolla,CA,92806
2010,9069,Victor,Navarro,41,S,M,50000,4,0,Graduate D,Skilled Manual,0,0,Chula Vista,CA,91910
2011,52286065816,Victoria,Robinson,67,M,F,90000,5,0,Bachelors,Management,1,2,Colma,CA,94014
2016,61177390217,Wyatt,Alexander,53,M,M,40000,1,0,Partial Co,Clerical,0,1,Colma,CA,94014
2020,546,Warren,Deng,73,S,M,70000,4,0,Graduate D,Management,1,2,Concord,CA,94519
2022,85189206600,William,Garcia,38,M,M,80000,0,0,Bachelors,Management,1,1,Lake Elsinore,CA,92530
2029,5941,Willie,Li,51,S,M,30000,0,0,Bachelors,Clerical,0,0,Colma,CA,94014
2030,538,Warren,Liang,75,S,M,40000,3,0,Partial Co,Professional,0,2,Glendale,CA,91203
2048,17910714100,Xavier,Phillips,47,S,M,40000,1,0,Bachelors,Skilled Manual,1,0,Berkeley,CA,94704
2051,17818092100,Xavier,Wright,36,S,M,50000,0,0,Graduate D,Skilled Manual,1,0,Imperial Beach,CA,91932
2054,1432,Yolanda,Tang,31,S,F,30000,0,0,Partial Hi,Clerical,1,2,Downey,CA,90241
18,9408,Alicia,Chande,42,S,F,50000,2,2,Bachelors,Skilled Manual,0,1,Berkeley,CA,94704
20,214,Alvin,Chander,44,S,M,30000,1,1,Bachelors,Clerical,1,1,Los Angeles,CA,90012
33,2997,Adrienne,Diaz,44,S,F,30000,1,1,Bachelors,Clerical,1,1,Daly City,CA,94015
38,1242,Adriana,Fernandez,73,S,F,110000,2,3,Graduate D,Management,0,4,Colma,CA,94014
64,87213770151,Anthony,Jackson,44,M,M,10000,1,1,High Schoo,Manual,0,1,Downey,CA,90241
66,36010416200,Alexandria,James,63,M,F,70000,4,1,Bachelors,Management,1,1,Concord,CA,94519
94,3001,Adrienne,Moreno,46,M,F,30000,2,2,Partial Co,Clerical,1,2,Chula Vista,CA,91910
118,833,Abby,Prasad,58,S,F,60000,3,1,High Schoo,Professional,1,2,Concord,CA,94519
150,2476,Autumn,She,49,S,F,80000,5,4,Partial Co,Professional,0,3,Richmond,CA,94801
159,832,Abby,Srini,49,M,F,40000,4,3,High Schoo,Skilled Manual,1,3,Berkeley,CA,94704
165,2782,Alberto,Torres,43,S,M,80000,5,5,Bachelors,Professional,1,4,Chula Vista,CA,91910
188,2461,Autumn,Ye,60,S,F,110000,4,5,Partial Co,Management,0,2,Chula Vista,CA,91910
207,939,Byron,Blanco,50,M,M,70000,5,4,Partial Co,Skilled Manual,1,3,Concord,CA,94519
219,9698,Bradley,Deng,63,M,M,120000,5,5,High Schoo,Management,1,4,La Jolla,CA,92806
224,1574,Bryant,Gonzalez,60,M,M,50000,2,1,High Schoo,Professional,0,2,Concord,CA,94519
269,4757,Bruce,Romero,50,S,M,100000,0,3,Partial Co,Professional,0,2,Colma,CA,94014
276,5116,Barbara,Shan,47,S,F,60000,3,2,Bachelors,Professional,0,2,Bellflower,CA,90706
299,51708537900,Brianna,Wilson,71,S,F,170000,1,2,Graduate D,Management,1,4,Chula Vista,CA,91910
304,5085,Barbara,Yang,42,M,F,60000,2,2,Bachelors,Professional,1,1,Grossmont,CA,91941
318,7479,Casey,Bhat,72,M,F,170000,1,1,Graduate D,Management,1,4,Alpine,CA,91901
347,6980,Candace,Engineer,63,S,F,70000,4,1,Bachelors,Management,0,1,Burbank,CA,91502
373,1982,Cara,Huang,50,M,F,80000,5,4,Partial Co,Professional,0,4,Concord,CA,94519
378,28459536400,Caroline,Jenkins,49,M,F,40000,4,3,High Schoo,Skilled Manual,1,3,Beverly Hills,CA,90210
